,price
143742,15990
187624,16995
402958,14725
10817,33500
385380,26988
42553,15900
227908,17390
5167,18995
25545,15995
382799,9999
52669,6599
257698,32990
62516,14998
114818,20795
275834,8000
384262,16995
96092,16492
202897,34991
256885,13995
129815,10588
187462,36990
296373,64995
94785,27900
315772,40500
218760,298
410028,16550
221987,14400
304921,6500
268240,29995
33396,7987
253364,9999
56173,11999
51769,26990
175644,31998
90145,10495
350670,43995
72362,14900
5098,16981
391148,15999
355506,20998
169130,8995
215402,8950
5482,4400
37815,11350
33817,30000
213566,13995
100250,15950
173691,32990
250746,14350
61329,26999
252272,33965
165318,23990
405573,9995
391360,14495
409311,80000
9943,248
55391,7500
283602,37888
202402,8999
192963,29790
218665,23000
273652,18495
295915,4900
252627,18995
41482,6800
406772,4200
77502,3950
80503,18500
387921,13997
158379,3700
61768,3900
189385,6850
210712,14900
196982,12499
71334,16871
85481,8900
294707,13978
155271,43494
396710,5200
369645,20850
126296,37978
97059,21498
238812,14995
320416,31890
222530,5997
229544,19380
355916,22599
197545,17990
68514,3700
383544,6500
318838,29999
339169,7801
257464,21000
109307,23995
188172,19500
270689,2600
218434,16500
6305,49995
199214,19900
125242,19975
238888,8995
396151,19995
413872,6800
403423,18895
114544,11995
254040,130
356106,26999
28984,3800
41611,17400
243335,26250
379590,14851
344273,28724
253691,3500
130764,13999
377373,3999
4656,34997
190194,8400
108976,4500
113200,193
340069,5495
319996,15990
24306,17995
78100,23780
235112,2500
340303,37499
347925,12600
390601,24995
25107,9500
198330,23995
179410,13998
403202,12997
301945,6200
296306,17691
186354,6995
209806,9999
157743,9000
377108,4600
131392,29950
10242,27952
188167,7995
323220,9900
195982,4500
166253,37845
71565,9795
145365,39500
17351,11500
397402,14000
374154,6500
43630,13984
175259,23900
235098,36999
367273,42999
281618,13399
79686,15777
143554,2100
128330,6995
369648,42995
249440,5000
389974,13000
398263,8900
375743,20590
251327,17995
55678,14995
407579,17996
214802,6394
129402,14995
303077,10988
267868,12000
187431,16000
208835,4400
188850,9999
351626,14998
78540,25500
357467,9950
304134,4995
349689,31995
287464,7999
335504,9400
291800,14990
385060,9995
393236,15505
200718,14995
384377,19900
383646,11970
63073,7995
68423,24990
188470,8200
341198,37700
328459,6000
261753,51999
329244,9995
366187,4600
218326,8700
83546,15584
270461,13590
224464,13325
38433,38801
3467,9995
276887,19287
32555,9995
247798,7000
28966,15000
200485,69995
105302,3500
409830,11798
2714,8744
208090,17399
350071,16995
71526,8750
170580,8998
378274,1000
129793,12500
179546,29998
419524,5299
8504,10500
182804,7995
416070,8495
351016,6100
270369,9950
10451,9990
37518,4500
114930,16977
277553,16500
418274,11895
188236,13994
181931,5850
118070,41991
66079,16499
26707,15289
126549,4999
3161,17950
96450,13550
29068,21998
292666,7900
200675,45000
30618,58858
408473,3300
276805,22500
9023,25664
346763,70000
273611,21990
240902,19169
199924,17200
139481,25195
388023,22990
382178,9950
385326,16500
217120,7800
286261,47900
301430,6600
66553,4200
69842,6995
116948,6200
369135,57950
300309,10500
192777,16500
249458,31542
379672,14500
110463,12999
228490,6995
268347,22999
335030,7200
422758,3500
349886,15320
274045,17999
288193,9495
200738,19992
275919,44495
342064,9985
198976,12488
330155,15895
300385,30990
400213,24995
310045,23900
333705,4200
177680,9824
386770,26999
3650,62995
421362,5995
190969,6990
301043,146
331911,21033
353847,34998
281800,11990
398338,5995
253264,17750
83835,9799
267756,9995
5994,6799
227238,23995
170305,28885
199740,39999
325872,10995
250296,31000
266870,15995
244674,14992
269739,4999
337934,7900
417984,10200
409605,19590
53295,19998
423027,8495
233247,24999
231055,10995
190623,13990
143470,13999
208029,50990
387025,7499
216887,8299
136291,9997
45056,3900
104101,10595
262703,10000
183118,16942
116152,9900
290674,4900
314893,6395
217076,8999
403662,31590
319560,14493
54047,9750
186416,329
410247,5295
127122,28995
355993,56000
190600,12995
307906,28000
6059,12900
395753,23990
402116,19500
197374,17495
303537,12500
414994,8999
225438,3997
249693,17990
310829,11995
318594,7175
225039,14995
220747,14495
400151,9995
250413,8995
194475,6950
287671,13995
334827,6500
87328,18700
31805,5995
238863,7490
47172,44944
146974,25500
291205,36990
119352,50999
245126,9599
224052,2800
119254,8900
403214,25995
377347,9990
264576,11988
221838,67991
349663,4500
245898,33948
36321,9000
292452,263
196206,27991
21884,34590
273855,4995
190404,27600
137594,25990
405937,19995
214717,675
182813,8950
391463,7995
289715,16791
160075,7250
182575,12000
200477,12900
298708,8998
49223,6800
165279,23499
286042,22590
384406,12990
391675,12998
336843,36950
211157,2000
85044,11250
243560,6450
250709,21495
239852,3300
127593,39980
342181,13990
218684,19990
139010,22980
369068,13500
7551,87950
407751,27399
83093,10600
399183,28985
408091,23500
61469,20495
97108,39998
230277,51944
409773,15995
215349,6400
342907,8995
195365,17395
7365,34495
217291,5000
263716,9000
315205,17995
161655,26500
256651,10496
395258,7995
257881,21750
210114,20590
325660,35990
179719,10995
118115,11900
128859,15500
277560,29981
266400,8500
198285,18895
29238,14995
240389,32795
310443,29988
305651,41590
358090,2995
32556,39950
302551,3300
397783,14596
53229,17271
210243,10000
292078,21000
378953,7999
253216,23995
4413,13950
265112,9600
138598,8990
389876,16977
274887,14995
392417,14799
91949,232
175293,10995
2747,6995
86141,27995
244445,26995
388328,20920
229852,8900
395443,28000
209976,15999
840,14499
263935,15900
212344,12200
223948,14490
239825,18590
403982,3495
267142,25990
169058,694
330083,2995
228537,16489
316627,17995
339649,10490
141273,9999
167899,12688
221844,4950
352179,9900
307634,8995
252905,26995
225433,21995
1144,5995
178753,1800
319401,10900
119876,69999
341932,17999
324306,3899
231238,26988
212660,7488
208804,6990
1907,43500
313030,15499
366277,15995
65660,8000
186934,14495
305771,69999
407227,29800
87774,27999
137388,21590
87096,23995
72484,10900
346025,9995
356998,10750
417212,5500
317556,19977
282603,16900
279120,4995
192665,16999
3038,30702
35458,27900
115301,29900
137523,9995
318459,11500
304731,11499
304702,6990
275471,45500
43097,33980
423843,29500
331893,7500
408468,4200
355390,154
279259,2000
244848,8500
304858,24000
173944,36000
188503,12850
174167,18499
421263,30850
132404,16568
271667,17990
35525,29546
367532,18532
34569,19995
353091,26595
333112,11888
318807,43990
230007,9533
207133,7995
154851,6200
246351,8499
247000,10970
231141,6995
339192,12990
250801,26495
253384,37990
160199,6995
310322,15995
170290,3850
3200,4900
184267,23995
285528,23888
87214,7500
93637,21990
206266,10990
2460,17998
97406,11999
385151,6999
194544,35995
66070,19999
281214,17495
226058,8500
326937,49995
241200,9000
293041,13300
169467,12000
208343,10995
135838,32995
12489,13995
298454,8995
277424,14998
3106,7950
297453,20892
392328,42995
390722,5995
89100,27463
136641,6999
123003,43980
392334,12900
209824,5418
145820,3400
10411,15987
209000,31995
162039,20990
365864,16990
409621,32988
114011,35777
251786,9995
353737,38998
292259,4999
55314,18400
381751,11988
186760,23590
63786,39900
347574,15359
313109,8595
422681,43760
59283,16995
410132,9000
313127,12364
388718,11995
417894,47500
259914,5600
345475,24980
9254,14980
228364,7995
141747,13499
61430,15999
207261,9791
381966,22250
119378,24000
6647,12900
288636,51999
338227,10995
255068,4000
218904,23990
153722,8881
344154,31988
94406,10990
255524,7300
1730,10750
387830,18995
387916,8500
272051,6200
275314,24990
155990,36999
295061,9499
228492,35000
335600,37990
251816,7449
893,2500
203748,12000
225434,20995
262077,29995
377076,13999
193198,15990
301233,6499
27170,14995
388684,27990
254902,25995
63400,13288
313809,32998
275362,17590
382299,7599
168527,16490
143207,14900
225997,4495
396550,7000
324650,6950
355090,13988
238958,7995
136889,290
280028,7988
182179,37995
58836,30995
392483,20999
204827,20888
296505,1995
392354,16990
290665,13500
271236,17000
368494,668
255423,5850
153682,5499
218563,18990
153235,30999
307827,15900
405877,10000
84041,5565
277162,22995
293382,23695
317597,24500
231265,20997
15218,22441
331327,19995
325438,10000
52834,3750
129695,7843
305694,35990
184038,3900
421343,6495
86444,41590
399876,6495
373223,14950
29478,65900
313210,9200
328574,8995
379599,30000
392650,29400
403560,23988
144494,6250
277053,46000
283363,14850
182708,3500
351138,4995
142326,48500
213864,12999
300753,11999
223004,6999
193807,45000
276194,8999
262701,9000
225779,17950
400382,8400
405107,28985
227796,28450
333136,7995
350067,31490
362197,10000
385982,17999
5283,30990
1913,17000
249462,5000
269171,24500
165240,28688
410276,1950
162467,31000
55645,7488
303436,6500
278315,12947
80038,5990
245358,56995
209869,14981
74298,16990
245503,5500
109629,13900
239138,35000
12651,8200
21430,34000
9728,19500
82817,4800
278613,19999
182289,7900
257559,15494
45118,18990
260761,3999
305432,22999
251698,16794
130353,29900
411674,14695
94350,9990
346967,18500
133084,7800
217377,27990
41188,15774
354441,9400
157912,13000
410653,17990
232528,18980
216475,29997
256011,7995
388793,19997
355509,20980
188887,12499
91573,21982
385003,25999
177122,15495
347575,59239
123033,8850
218509,18440
188611,8500
351685,38995
114360,3000
254732,36200
167708,9250
297342,20995
382752,18991
240796,9500
337390,20990
257610,5800
27957,14775
45183,5998
383503,11895
282888,5500
272784,5450
387022,12695
130558,22500
16675,17590
172051,9850
363243,21500
283421,12995
227496,49995
418233,7285
287936,9800
113650,164
97094,8995
137746,11500
22722,26784
402439,25995
294264,10995
188408,4000
356983,1500
342689,20495
187526,14495
386771,18754
197236,29999
395076,7995
267650,14800
403721,16990
118255,9995
277387,35988
381392,11590
30025,67995
274902,9000
2407,16498
167394,7945
313371,16995
421718,4595
33118,14990
380427,25900
62113,4500
319570,8195
227738,9995
92821,15990
364607,33990
341349,2495
166497,21990
98577,15799
127528,4800
242599,26495
417276,16995
194308,19995
297830,7000
6726,3500
403075,16000
248407,6000
41562,18900
188706,63991
95538,14995
175631,12999
331714,23429
190613,14788
228667,12500
8825,15989
185230,8499
337511,18777
206781,9500
165320,11499
245346,36881
109336,12500
294189,8995
362412,2995
183245,34995
1684,44050
399170,9495
378900,6988
228449,9350
60852,4500
62846,18450
101333,9999
301979,22985
381319,14900
399274,15995
70025,16995
294926,5495
239383,11433
254492,16495
375801,11995
91929,14864
290056,23990
94446,32887
216407,16995
343318,9988
191064,14900
236376,67995
139032,15995
24028,13995
408664,6995
358169,8000
61743,24240
296023,31000
185395,15900
256333,19998
315974,500
112562,54945
246264,5400
117759,49999
367571,5950
385833,17500
205203,11837
129814,6588
234590,16995
238666,14995
316421,222
221243,32995
222830,6000
290299,14995
208969,15997
392683,10950
264789,21995
236640,11800
394158,22995
213650,33950
370498,8795
215205,33775
380092,19883
224729,26990
313483,8000
227324,46982
57145,15998
239940,10500
292390,43995
387233,17999
218015,31995
393374,10700
90104,8780
200441,17500
387697,26990
25681,12888
399044,19997
192054,3500
137460,16990
141857,5995
377859,1300
387084,12997
320537,4750
349467,7300
72700,13950
284049,41975
377270,7995
246357,9500
166219,18999
398709,34998
225887,22990
406192,9500
204270,12984
289218,9288
146087,11995
79321,14599
392764,19590
420430,5388
278181,24999
188664,12500
394468,27944
201597,20997
329757,7500
78479,17250
321651,3200
67948,9900
130015,12988
305271,20990
185392,16500
218286,8900
238501,60995
168783,17450
333970,21495
341410,49999
367839,10995
59504,28990
26827,24750
420489,17990
301354,28000
421838,6600
317182,7300
280969,12999
123743,15980
323286,13990
314627,6500
16164,29995
292776,26950
138197,23495
263173,23495
301312,14995
327620,12950
250705,13500
405373,39900
10008,289
321409,18999
328159,34743
225639,13995
110403,36995
186554,8995
421532,4995
98738,30998
54742,49998
145511,18900
122787,3450
17073,36990
160873,7999
202205,6995
335789,16000
386383,39995
184663,3999
331773,26995
246956,39999
99039,16000
300538,11750
218956,24950
203308,5000
205085,11900
91379,5995
210307,16500
318925,40999
377464,25900
7554,9850
309054,9495
236484,4000
201833,16450
390118,5995
213161,209
405229,16995
133336,343
102311,32888
274029,3750
290626,30900
354044,9999
22885,16995
343124,8995
126896,47999
386825,33990
125406,52995
411890,8990
99161,27995
414008,6995
223089,16999
391159,3995
387993,34995
327498,90888
240083,12990
300511,13000
333506,16000
352967,18600
373085,44855
269939,7950
50406,10990
198980,17995
234232,13999
227879,35486
275923,14000
345587,24990
45608,35000
379074,31999
276913,19990
61871,13658
407739,16595
243643,43000
146059,9895
282339,1600
230231,14000
373969,9800
126824,4750
274278,13879
261502,5500
299014,8500
205968,15993
281226,12800
402881,8700
233773,10950
367815,18995
245819,17300
258948,7495
319174,17950
25977,20876
183879,7599
255976,13444
348643,1800
23699,7500
2049,23980
89830,14999
124799,3600
285629,6500
293008,11995
82026,16900
5580,29999
413101,34995
225152,8950
118920,16000
2710,16479
105404,6933
16440,18990
108144,13995
353247,16495
267990,12500
3865,13700
262171,21999
148548,9992
406490,17500
93757,799
166597,17995
96322,14995
116327,42995
275479,21500
265356,13949
393394,8500
77526,12995
135072,25900
404015,15000
326808,2500
34785,3299
305753,18116
305800,13498
136596,27997
135698,41999
305238,22696
24888,32500
288377,22590
126045,10900
341463,9500
264265,35900
9248,52995
198,18500
395621,24900
237404,21041
364677,6995
128278,18500
136437,18995
369375,27587
25284,39998
118898,25990
217746,4900
194826,41440
302834,22999
210049,8500
318114,12900
189317,40990
275866,29982
276777,10800
180440,5800
289711,10240
198969,32900
91871,28935
349300,16800
398905,34990
101022,8988
116239,24500
324299,5500
159145,12950
265952,11995
411860,11990
296922,5995
335431,23590
5602,11977
70124,8700
391016,23990
272574,5995
226669,17590
351961,13000
348076,17995
369211,5500
318376,35495
327602,599
137910,238
280634,8498
190733,6500
407398,4999
78214,8495
166067,45958
414801,16990
25745,34000
116209,7499
92534,4950
34266,23500
65272,7995
9596,9999
210174,20990
286627,2495
265105,44500
331168,14999
67531,275
386333,22999
379318,2295
408431,6500
316349,4000
230098,18990
206757,13500
403301,3500
233003,8990
223197,10995
200328,41989
62928,21990
297880,7990
291109,500
342262,23995
76061,23999
238013,14888
333046,15559
282569,8995
290257,12999
313956,6495
136408,24997
92601,16990
357202,13995
244481,31000
423847,4990
272144,22700
218054,9000
96688,21998
34570,17499
6692,13980
9947,3900
411885,10990
387189,11990
423653,18999
166363,47999
400404,4995
293221,9485
330494,4000
375259,13995
75146,25980
214840,5995
226871,7995
244372,11990
130767,5900
387408,8800
347988,7890
294712,8495
87238,13995
251511,12995
9940,16900
395590,9999
110395,10950
295143,38985
13692,3750
182251,8700
152288,17995
333483,37981
234531,16900
102004,22990
103441,9998
349744,67950
197879,17988
2787,30900
96731,11995
330882,14000
243963,14980
207463,19983
136731,174
417586,17995
54908,7999
213244,33997
136677,12999
211841,6995
4455,6395
262605,14886
193391,36495
268082,17980
222314,19995
407482,31500
328608,12950
31739,10995
191985,14000
181266,6500
77580,6300
205521,12500
242246,18988
201731,6995
219696,9750
277149,15595
386569,8222
110401,23900
368519,11900
422502,11900
97152,24995
58658,39990
235930,10995
276659,24998
124002,8970
309216,31999
200407,39995
414918,24995
194367,21480
112896,14000
285360,32200
279971,9500
305021,32000
241916,37895
267154,49999
102628,39990
21687,275
185930,6950
244585,10250
418379,23990
157921,13000
259144,20441
302158,7000
283422,3900
117916,22995
419341,8995
195110,11900
307895,6995
342601,6250
204904,10500
164623,30995
170043,17800
182930,5991
105551,11240
73241,21750
420450,11800
65511,11497
4969,18995
187423,11500
109710,4000
280953,275
22286,15983
188193,19977
95849,10995
28429,17895
257065,11402
234204,6920
211903,268
273298,28999
386757,12700
369537,4999
13512,22999
360587,5995
137872,17491
138740,16995
274917,33828
291588,45000
63750,39971
369615,26500
345662,10900
3266,43997
408955,5495
26968,10499
208266,8800
409581,8000
129036,9200
36946,8900
315624,25103
201870,10500
342747,10750
71748,22999
390352,9995
337593,11900
186,15500
312040,37925
293010,18750
1386,15590
395650,7995
372462,32944
182324,26995
189778,8000
346581,8490
156921,370
410758,90000
225571,23675
208004,39780
175050,41995
264130,4995
166459,12990
35908,14799
352866,17999
71405,41999
285610,36900
292892,29999
319615,17990
372279,27500
33111,29995
261867,13995
134685,5000
261489,12980
245152,16462
311532,5995
348671,44895
259906,27385
146081,5800
311295,29998
39453,8995
293974,224
194443,477
340587,14000
409233,44695
325,7499
273575,174
278482,3900
303228,11000
205091,8500
292598,337
209121,12900
257473,8788
190602,16480
336916,38999
272211,17500
330484,18995
181333,16990
90415,11500
200053,6950
310726,25995
167831,30975
121550,11995
305244,5999
369826,9905
336429,20000
70888,4900
409554,5480
414969,28999
56491,4995
225282,46999
126341,7995
21372,11500
338660,36494
322566,41999
316737,21995
270978,27490
213536,4900
297558,11995
118069,12987
182240,39995
200320,12995
313922,11795
251627,7495
351136,16499
5100,20995
311544,11999
335292,4999
410633,20600
299426,15990
337237,22990
261959,8000
293842,42900
392087,25999
79937,26982
269870,16489
144594,21590
237037,10990
71331,12950
121150,6700
372260,24995
268779,18000
288536,16990
404848,17450
376334,4100
246341,20000
314195,10650
261386,10895
179645,33995
408110,35990
370200,25990
379645,4500
380433,11300
254948,402
214519,18967
2025,41980
160233,39590
275443,11500
194768,3000
63036,14999
234139,38888
287357,16995
225581,21723
328617,13695
285598,37900
100999,28998
34714,18950
23616,7497
231116,16900
376196,4495
185232,5499
342823,4999
399332,11500
87213,5900
273063,10795
287709,20995
416527,399
233072,4500
384261,16995
33320,30000
230469,14900
88827,39974
2155,31850
165687,10995
414511,12900
369075,8995
407440,5800
129266,25990
123994,26550
112076,21990
233033,6400
169505,12102
256937,20499
274872,14900
342616,8800
103464,11980
345842,13950
410114,6900
280474,38950
316662,13488
422310,22995
342757,13750
126993,4500
260450,20999
267789,5988
140068,7346
85676,10995
263422,28500
207798,24590
209559,8900
55530,10995
168404,45000
198158,20000
347984,35801
341579,28593
287248,13500
378754,5977
65143,39999
73740,17998
89094,699
390517,18995
84711,5950
275123,42995
59497,23900
63139,7700
422352,22995
406801,2000
260333,5500
318456,21990
142418,14489
227178,19980
335145,11590
212642,9999
288745,35990
337683,19000
96587,6689
319515,10835
407037,18500
208510,10997
212059,9995
282634,13577
248598,7900
295952,23950
400461,17995
285278,34995
133538,18850
173453,25444
337370,5995
280528,17395
78731,12500
61742,41408
169092,2495
120497,45995
226139,9500
423491,21590
415892,10500
87018,8250
400375,14000
329100,49995
394428,32988
418546,13997
64088,36000
316602,7850
45649,21496
378477,15990
317425,8500
417950,5990
309436,12995
336163,6695
347383,18698
325803,14613
390285,9997
263782,12716
295257,9995
351015,23998
227794,24650
13930,34998
228138,9999
354120,28999
276454,13995
254148,18990
360307,8500
166618,66998
93877,32225
285597,19590
140443,6995
131888,6850
294601,17000
248160,13500
202789,7995
97560,17995
361396,36995
9281,11980
224756,3499
285997,39995
128248,3225
356226,9995
281434,8900
419712,5450
194628,14950
411541,10995
208083,18000
177672,12995
197584,39488
165110,8995
44985,16990
391378,14999
410637,8995
347928,17500
83422,373
246193,26999
231603,3700
277039,14990
417363,1400
322012,6995
357326,4995
295087,45000
248345,9000
256062,7500
422608,7990
116476,46995
322556,26490
97896,6278
355946,5995
189163,6995
263633,16990
161176,11480
236613,13900
272007,13450
111385,7499
173418,9651
399134,12995
76689,26390
404721,28500
45144,12900
401474,27988
110651,15711
144035,2997
267586,16995
229390,17990
287526,11990
8710,11989
163332,17900
128219,3495
140526,9995
227475,6900
289625,6880
419743,13689
265513,6598
662,6999
156828,5599
192466,11995
384728,5000
185319,9000
267219,37590
51743,21990
346972,17500
383808,45900
265710,10490
68578,15000
303450,5995
263755,28500
418966,26158
91608,69000
353282,23450
168735,7995
16093,31946
420314,6800
203876,32000
324481,8980
89342,12995
137339,13495
268450,43999
330433,3995
402306,15888
398887,16500
242115,8000
148101,20590
407302,4500
320851,28487
236972,16500
170473,5995
115030,9875
378587,5000
113498,20990
12178,25000
241463,13995
130332,19900
73133,9995
186454,9995
380770,6900
306515,21041
285810,9180
352325,7998
391014,17500
165403,37999
296620,19995
330403,8498
119950,32900
8047,34995
205399,5000
216278,32600
241051,18950
1317,19392
256864,11350
393543,20551
209537,5500
417472,39999
64278,21999
4484,6974
162370,22500
232573,9695
241633,19999
190764,5900
176356,32950
335553,8490
131360,12590
197621,14500
412825,37990
321380,16748
210598,5000
172263,14995
200108,6350
192542,28800
317386,38450
184103,4750
387532,22000
263518,8995
52289,8350
60975,13000
336850,21888
121665,47995
136385,22997
52486,15995
389593,1695
135587,10995
187194,7999
318713,10495
330940,12991
309480,61900
401557,10995
246733,17500
213113,16999
14074,14800
4185,27995
260567,22000
211546,4000
395595,27500
236119,18990
181992,5900
233558,296
339897,28995
411021,40995
331652,54999
310346,15995
233093,19100
98823,19500
72732,9900
276732,9500
229917,12488
286959,39990
331621,36865
236559,5450
215974,7200
98838,38590
195569,2500
258058,49998
300976,14895
390096,63900
136993,26988
245324,18590
345491,21500
119048,4500
207678,11995
97309,12998
146386,17200
233282,6500
53153,9000
22302,16738
352621,34777
194486,12997
256210,39982
413401,5882
186347,24990
243249,35995
318546,21998
352050,46000
284689,26999
257907,21995
212867,9999
290171,10995
225197,5000
320508,14800
267086,7898
182131,13868
320807,9995
409720,10995
250184,2900
360760,20995
330098,13995
53924,17495
141620,3999
206454,15492
323638,20999
73409,10200
310393,12995
309971,19998
344596,2800
314897,17995
214688,15990
346409,14933
217352,19995
309479,43950
274006,1200
74553,13500
336158,5995
225895,9500
251357,19590
191947,44999
279847,17988
3198,6500
53347,37998
236927,1000
309788,13990
165929,49999
47,9885
59310,35900
251952,29997
7841,36950
144757,12999
190362,13500
77788,16000
203334,9995
284493,12331
384124,8500
251833,2500
238011,47995
281306,16229
317444,5600
280379,25888
262297,4495
55626,22200
310458,13998
252281,5500
71888,21900
76793,7350
233687,9999
323146,7995
264981,16999
222117,7250
384604,28000
369925,611
293987,412
204500,5950
358029,14500
225993,11934
182640,9895
196901,11495
307831,15996
136428,29999
412782,22590
316619,58127
222528,13997
66223,25900
268341,3950
95428,47500
142439,23988
100741,18000
348273,32161
381015,14995
158233,29990
96133,11900
240429,10990
234179,25988
303299,12991
126839,43999
119452,12900
395010,6550
276402,5995
242350,17303
380183,11750
237969,14590
281386,19988
319664,26988
72884,16990
305601,14995
216224,31500
355767,33998
138698,12999
76090,242
279342,2800
93192,15995
309404,14999
320971,8000
203500,4800
381236,22989
343394,11900
363620,8450
353554,16500
54659,7499
296611,39995
293493,11995
380468,16500
125642,11500
255092,17995
400920,13995
99111,6995
380915,7200
22255,21457
155039,53995
321755,39999
188181,9495
305467,9500
191814,6980
366394,21495
393657,16375
246313,9800
296143,17495
325171,3495
29503,25998
193895,5905
370996,45450
356588,9779
383066,44999
217634,48999
397937,26982
271039,23500
306871,41590
379918,12795
282134,10995
181248,21995
339531,15999
339022,5200
126665,10900
191555,4800
324225,14995
89055,9995
164602,19995
40364,27988
313271,14990
399461,42900
54103,6400
42611,21500
421703,2900
387065,6995
202857,6823
301786,17995
305815,11900
110537,5800
406697,12990
116323,15300
274049,32999
394978,10995
13347,12997
302910,6995
345173,33900
260084,29500
184804,10995
340445,12590
113522,26250
283663,30725
69587,19497
39593,36500
221888,27990
301930,29990
291836,16990
340987,13755
185995,11500
791,26850
286040,22988
390099,6950
38726,29499
127987,16800
350746,16495
262725,9800
266479,22990
190847,13995
152315,32724
237535,14990
202506,7900
311220,39998
197080,1800
218813,403
238644,16450
205332,500
241371,26495
261208,16450
279555,4999
146215,23988
54790,6999
157464,31990
102017,6495
305400,12995
365911,37995
101219,23500
403765,16995
3410,11999
168821,8995
103164,257
245009,36999
263617,3900
5866,32999
224894,5800
413994,11950
4853,13995
330245,5950
283359,12000
267524,37950
122360,21995
123617,8500
356296,14800
297236,10997
380150,6495
202539,22500
213270,24499
188821,6995
201952,20895
182160,2700
164417,27998
97636,14995
68799,5999
346795,39995
283293,62990
301045,139
336630,10500
394736,38995
351188,12999
343008,17500
86683,22129
66296,12990
324053,10950
201237,4900
229803,15700
302471,10900
55869,11990
398851,22998
211170,6500
199222,19900
233498,5500
359064,2499
93574,17990
113002,41990
6271,15550
275428,25500
306127,8500
215437,21990
183046,4500
113768,29981
312948,19995
421503,5495
6591,8500
249653,32990
294858,21590
345285,43990
344945,35000
199945,7995
259738,13650
341082,10500
170437,9995
61885,10990
135368,15950
406623,11495
114467,12000
418751,30990
300341,2300
331057,14999
416230,19995
286415,24995
388219,14981
412260,7999
226596,22998
257592,6000
235619,14995
127014,69999
143093,7000
32001,25900
208246,7995
44473,11990
83161,343
55849,42950
287501,24580
360872,32990
301009,216
130472,2000
187077,29000
93478,8495
8203,20879
44891,13900
325976,420
395272,14400
326696,7995
215577,31624
5976,6500
381686,12950
70119,5495
66266,9999
199308,14200
303545,5850
349270,16422
199650,31980
410196,5500
388959,39995
266367,27000
360431,28988
32831,17846
195022,17999
392254,1500
157657,26987
211637,32500
384702,9995
209328,6995
57665,23995
301566,33985
202002,24000
411411,3700
240808,11499
170325,9992
268093,64999
228421,16990
73972,24695
150209,21989
318489,16800
135430,28995
810,14999
331775,11500
307374,800
245570,15395
175593,14000
54425,9599
246961,159
298341,8850
285227,10950
157341,33590
341039,31532
184913,19975
142455,17999
126310,7990
72582,300
213301,12936
214170,13500
345461,4900
128319,6500
322282,6990
94805,15950
215825,16994
84896,15954
363079,14495
96232,34995
384865,18939
39155,27589
6063,14595
299081,363
318196,3999
347379,2995
326088,13483
314015,16950
210121,17899
67967,10200
423370,7000
234180,42999
295829,9911
119399,30988
7821,14900
213691,26991
276747,34998
173690,3809
230309,35921
220765,22999
328374,21677
30450,14990
333163,4995
382349,14000
225626,40990
42796,23995
119293,37995
388024,11500
195561,23995
26495,13995
239012,9995
245074,25000
165482,36999
205228,12995
184592,23999
193462,65000
335170,15000
390573,7995
81771,59988
117286,11149
200995,6495
298574,27987
157841,8495
413314,8995
248728,7990
204625,18975
270813,7300
269024,39995
423099,27995
348380,42590
158348,3998
392468,7699
167533,17500
341723,6555
333823,10998
227866,19995
296285,14995
412334,13999
79514,11000
387964,22500
415675,3995
191592,29777
67628,20590
399799,15400
256503,36995
190160,8500
188614,22995
417711,18500
225727,25999
300236,12995
124193,14000
386130,12999
351933,38997
33562,24495
40944,9490
36073,9561
112818,25500
389107,9950
7917,14998
237429,17995
2942,5999
123927,6950
119395,24988
67968,34998
373205,34995
226282,12850
312738,7995
156393,41980
364644,18998
125617,15499
227773,24981
405951,34995
237674,32995
333617,18590
279361,7500
358263,19995
406577,6995
134317,6995
405799,8500
248125,28453
393349,13995
289041,46500
246442,5300
204247,33900
110632,23999
239273,5000
356048,10500
348177,22999
355164,12299
67566,18990
304615,4600
299820,17990
279540,42988
335947,14000
409894,4495
270803,18995
327869,7550
230388,10995
358168,16590
217976,2550
312147,3500
342971,30077
151727,65995
183222,5900
364579,13495
217388,46000
292146,9995
375583,16998
154854,19455
152268,42995
206428,8600
369371,17997
94841,12895
336909,9995
203333,10995
294087,42995
214597,15250
311501,10997
208167,4495
294898,11800
343115,13799
17312,22990
86632,9695
78762,20777
350885,36991
307288,39999
15577,14990
232960,8800
312336,31000
364853,33195
367877,4800
51082,17995
63117,30500
404062,19990
195703,24500
322598,9995
228479,32995
365610,18995
265795,10900
58696,21995
334756,32161
282873,15850
338912,14900
360763,400
332968,1000
412369,11896
333657,18980
214621,4900
48825,27500
308926,45900
327491,9600
103455,15998
211339,27997
200287,35991
374843,24688
219994,15795
196483,17750
320986,34900
182596,1600
379038,11499
382027,41000
194511,30990
214646,3995
364707,7995
326432,5500
346854,6500
103559,5500
203131,9995
116730,11995
54109,14990
35615,5500
130171,9995
271354,29499
159190,17500
387803,10495
391700,7977
217904,24914
232963,35888
400575,13997
218260,22990
359999,9995
351945,17999
94449,13988
232155,13997
95694,35990
39688,8700
147775,14590
167752,12950
149080,29999
340338,7900
137749,10995
367051,15995
113750,16947
281392,13500
257960,23700
201951,36471
261625,31900
72647,18500
203375,4500
352610,38933
239038,9900
347352,8995
189427,9995
20574,9995
139093,16500
239097,9995
391455,16990
314259,5200
44237,32995
371788,27500
350791,5900
252832,32874
